date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
2021-01-02,20667288,272445,214308.143,355281,2521,2676.571,61093.431,805.36,633.504,1050.227,7.452,7.912
2021-01-03,20870450,203162,223882,356707,1426,2675.857,61693.987,600.556,661.805,1054.442,4.215,7.91
2021-01-04,21057389,186939,225618.429,358723,2016,2692.571,62246.587,552.6,666.938,1060.401,5.959,7.959
2021-01-05,21289465,232076,229249.714,362295,3572,2692.286,62932.614,686.027,677.672,1070.96,10.559,7.959
2021-01-06,21549339,259874,235121.143,366169,3874,2694.857,63700.813,768.199,695.029,1082.412,11.452,7.966
2021-01-07,21834352,285013,231011.286,370168,3999,2801.857,64543.325,842.511,682.88,1094.233,11.821,8.282
2021-01-08,22137330,302978,248926.714,374321,4153,3080.143,65438.941,895.617,735.839,1106.51,12.276,9.105
2021-01-09,22400675,263345,247626.714,377523,3202,3177.429,66217.401,778.46,731.996,1115.975,9.465,9.393
2021-01-10,22610594,209919,248592,379612,2089,3272.143,66837.931,620.53,734.849,1122.15,6.175,9.673
2021-01-11,22815267,204673,251125.429,381469,1857,3249.429,67442.953,605.023,742.338,1127.639,5.489,9.605
2021-01-12,23037531,222264,249723.714,385842,4373,3363.857,68099.976,657.022,738.195,1140.566,12.927,9.944
2021-01-13,23266247,228716,245272.571,389829,3987,3380,68776.071,676.095,725.037,1152.352,11.786,9.991
2021-01-14,23501196,234949,238120.571,393604,3775,3348,69470.59,694.52,703.895,1163.511,11.159,9.897
2021-01-15,23745579,244383,229749.857,397420,3816,3299.857,70192.997,722.407,679.151,1174.791,11.28,9.755
2021-01-16,23962489,216910,223116.286,400971,3551,3349.714,70834.193,641.196,659.542,1185.288,10.497,9.902
2021-01-17,24138623,176134,218289.857,402953,1982,3334.429,71354.853,520.66,645.275,1191.147,5.859,9.857
2021-01-18,24279893,141270,209232.286,404534,1581,3295,71772.454,417.6,618.5,1195.821,4.674,9.74
2021-01-19,24436884,156991,199907.571,406937,2403,3013.571,72236.526,464.072,590.936,1202.924,7.103,8.908
2021-01-20,24624562,187678,194045,411326,4389,3071,72791.311,554.785,573.606,1215.898,12.974,9.078
2021-01-21,24816630,192068,187919.143,415429,4103,3117.857,73359.072,567.762,555.497,1228.027,12.129,9.217
2021-01-22,25008079,191449,180357.143,419206,3777,3112.286,73925.004,565.932,533.144,1239.192,11.165,9.2
2021-01-23,25185323,177244,174690.571,422729,3523,3108.286,74448.945,523.941,516.393,1249.606,10.414,9.188
2021-01-24,25325105,139782,169497.429,424555,1826,3086,74862.147,413.202,501.042,1255.004,5.398,9.122
2021-01-25,25455134,130029,167891.571,426337,1782,3114.714,75246.519,384.372,496.295,1260.271,5.268,9.207
2021-01-26,25606412,151278,167075.429,430316,3979,3339.857,75693.703,447.185,493.882,1272.033,11.762,9.873
2021-01-27,25761616,155204,162436.286,434380,4064,3293.429,76152.493,458.79,480.169,1284.047,12.013,9.736
2021-01-28,25928327,166711,158813.857,438187,3807,3251.143,76645.299,492.805,469.461,1295.3,11.254,9.611
2021-01-29,26091639,163312,154794.286,441750,3563,3220.571,77128.056,482.758,457.579,1305.833,10.532,9.52
2021-01-30,26242008,150369,150955,444607,2857,3125.429,77572.554,444.498,446.23,1314.278,8.445,9.239
2021-01-31,26354561,112553,147065.143,446538,1931,3140.429,77905.265,332.712,434.731,1319.986,5.708,9.283
2021-02-01,26480456,125895,146474.571,448319,1781,3140.286,78277.417,372.151,432.985,1325.251,5.265,9.283
2021-02-02,26597927,117471,141645,451855,3536,3077,78624.666,347.25,418.709,1335.704,10.453,9.096
2021-02-03,26722358,124431,137248.857,455719,3864,3048.429,78992.49,367.824,405.714,1347.126,11.422,9.011
2021-02-04,26847011,124653,131240.571,459602,3883,3059.286,79360.97,368.48,387.953,1358.604,11.478,9.043
2021-02-05,26977437,130426,126542.571,463263,3661,3073.286,79746.515,385.545,374.066,1369.426,10.822,9.085
2021-02-06,27093676,116239,121666.857,465990,2727,3054.714,80090.122,343.608,359.653,1377.487,8.061,9.03
2021-02-07,27182841,89165,118325.714,467452,1462,2987.714,80353.698,263.576,349.776,1381.809,4.322,8.832
2021-02-08,27266044,83203,112226.857,468902,1450,2940.429,80599.65,245.952,331.748,1386.095,4.286,8.692
2021-02-09,27361745,95701,109116.857,471934,3032,2868.429,80882.546,282.896,322.554,1395.058,8.963,8.479
2021-02-10,27457449,95704,105013,475295,3361,2796.571,81165.452,282.905,310.423,1404.993,9.935,8.267
2021-02-11,27563617,106168,102372.286,478454,3159,2693.143,81479.289,313.837,302.617,1414.332,9.338,7.961
2021-02-12,27663188,99571,97964.429,481292,2838,2575.571,81773.626,294.336,289.587,1422.721,8.389,7.614
2021-02-13,27753516,90328,94262.857,483543,2251,2507.571,82040.639,267.014,278.645,1429.375,6.654,7.412
2021-02-14,27821705,68189,91266.286,484694,1151,2463.143,82242.209,201.57,269.787,1432.777,3.402,7.281
2021-02-15,27877871,56166,87403.857,485641,947,2391.286,82408.238,166.029,258.37,1435.577,2.799,7.069
2021-02-16,27937694,59823,82278.429,487285,1644,2193,82585.078,176.839,243.219,1440.436,4.86,6.483
2021-02-17,28006685,68991,78462.286,489692,2407,2056.714,82789.018,203.94,231.938,1447.552,7.115,6.08
2021-02-18,28078933,72248,73616.571,492250,2558,1970.857,83002.586,213.568,217.614,1455.113,7.562,5.826
2021-02-19,28153804,74871,70088,494766,2516,1924.857,83223.908,221.322,207.183,1462.551,7.437,5.69
2021-02-20,28227341,73537,67689.286,496681,1915,1876.857,83441.287,217.379,200.093,1468.211,5.661,5.548
2021-02-21,28282588,55247,65840.429,497891,1210,1885.286,83604.6,163.313,194.627,1471.788,3.577,5.573
2021-02-22,28338661,56073,65827.143,499101,1210,1922.857,83770.354,165.754,194.588,1475.365,3.577,5.684
2021-02-23,28412482,73821,67826.857,501359,2258,2010.571,83988.572,218.218,200.499,1482.04,6.675,5.943
2021-02-24,28487497,75015,68687.429,504575,3216,2126.143,84210.32,221.748,203.043,1491.546,9.507,6.285
2021-02-25,28564574,77077,69377.286,506988,2413,2105.429,84438.163,227.843,205.082,1498.679,7.133,6.224
2021-02-26,28639516,74942,69387.429,509119,2131,2050.429,84659.695,221.532,205.112,1504.979,6.299,6.061
2021-02-27,28710324,70808,68997.571,510632,1513,1993,84869.007,209.312,203.96,1509.451,4.472,5.891
2021-02-28,28761977,51653,68484.143,511718,1086,1975.286,85021.695,152.689,202.442,1512.661,3.21,5.839
2021-03-01,28812132,50155,67638.714,513035,1317,1990.571,85169.956,148.26,199.943,1516.554,3.893,5.884
2021-03-02,28870799,58667,65473.857,514948,1913,1941.286,85343.378,173.422,193.544,1522.209,5.655,5.739
2021-03-03,28937881,67082,64340.571,517470,2522,1842.143,85541.675,198.297,190.194,1529.665,7.455,5.445
2021-03-04,29006360,68479,63112.286,519394,1924,1772.286,85744.102,202.427,186.563,1535.352,5.687,5.239
2021-03-05,29073563,67203,62006.714,521108,1714,1712.714,85942.757,198.655,183.295,1540.419,5.067,5.063
2021-03-06,29134310,60747,60569.429,522627,1519,1713.571,86122.328,179.571,179.046,1544.909,4.49,5.065
2021-03-07,29175850,41540,59124.714,523329,702,1658.714,86245.122,122.794,174.775,1546.984,2.075,4.903
2021-03-08,29220649,44799,58359.571,524048,719,1573.286,86377.55,132.428,172.514,1549.109,2.125,4.651
2021-03-09,29276474,55825,57953.571,525809,1761,1551.571,86542.571,165.021,171.313,1554.315,5.206,4.587
2021-03-10,29334192,57718,56615.857,527345,1536,1410.714,86713.188,170.617,167.359,1558.855,4.54,4.17
2021-03-11,29395952,61760,55656,528887,1542,1356.143,86895.754,182.565,164.522,1563.414,4.558,4.009
2021-03-12,29458235,62283,54953.143,530310,1423,1314.571,87079.865,184.111,162.444,1567.62,4.206,3.886
2021-03-13,29514500,56265,54312.857,531277,967,1235.714,87246.187,166.322,160.551,1570.479,2.858,3.653
2021-03-14,29553063,38563,53887.571,531792,515,1209,87360.181,113.994,159.294,1572.001,1.522,3.574
2021-03-15,29604627,51564,54854,532498,706,1207.143,87512.606,152.425,162.151,1574.088,2.087,3.568
2021-03-16,29659702,55075,54746.857,533749,1251,1134.286,87675.411,162.804,161.834,1577.786,3.698,3.353
2021-03-17,29719584,59882,55056,534943,1194,1085.429,87852.424,177.014,162.748,1581.316,3.53,3.209
2021-03-18,29781790,62206,55119.714,536574,1631,1098.143,88036.308,183.884,162.936,1586.137,4.821,3.246
2021-03-19,29842702,60912,54923.857,537597,1023,1041,88216.367,180.059,162.357,1589.161,3.024,3.077
2021-03-20,29900952,58250,55207.429,538367,770,1012.857,88388.556,172.19,163.196,1591.437,2.276,2.994
2021-03-21,29936359,35407,54756.571,539073,706,1040.143,88493.221,104.665,161.863,1593.524,2.087,3.075
2021-03-22,29984794,48435,54309.571,539627,554,1018.429,88636.397,143.176,160.542,1595.162,1.638,3.011
2021-03-23,30037555,52761,53979,540571,944,974.571,88792.361,155.964,159.564,1597.952,2.791,2.881
2021-03-24,30125390,87835,57972.286,542033,1462,1012.857,89052.005,259.644,171.369,1602.274,4.322,2.994
2021-03-25,30192778,67388,58712.571,543378,1345,972,89251.207,199.202,173.557,1606.25,3.976,2.873
2021-03-26,30268917,76139,60887.857,544534,1156,991,89476.277,225.07,179.987,1609.667,3.417,2.929
2021-03-27,30332701,63784,61678.429,545339,805,996,89664.826,188.548,182.324,1612.047,2.38,2.944
2021-03-28,30379073,46372,63244.857,545781,442,958.286,89801.903,137.078,186.955,1613.353,1.307,2.833
2021-03-29,30445746,66673,65850.286,546417,636,970,89998.992,197.088,194.656,1615.233,1.88,2.867
2021-03-30,30507968,62222,67201.857,547308,891,962.429,90182.923,183.931,198.652,1617.867,2.634,2.845
2021-03-31,30577378,69410,64569.714,548379,1071,906.571,90388.102,205.179,190.871,1621.033,3.166,2.68
2021-04-01,30654228,76850,65921.429,549479,1100,871.571,90615.274,227.172,194.867,1624.285,3.252,2.576
2021-04-02,30728110,73882,65599,550371,892,833.857,90833.673,218.399,193.914,1626.921,2.637,2.465
2021-04-03,30792606,64496,65700.714,551127,756,826.857,91024.326,190.653,194.214,1629.156,2.235,2.444
2021-04-04,30830473,37867,64485.714,551440,313,808.429,91136.262,111.937,190.623,1630.081,0.925,2.39
2021-04-05,30898724,68251,64711.143,551906,466,784.143,91338.015,201.753,191.289,1631.459,1.378,2.318
2021-04-06,30962113,63389,64877.857,552738,832,775.714,91525.396,187.381,191.782,1633.918,2.459,2.293
2021-04-07,31037870,75757,65784.571,555340,2602,994.429,91749.337,223.941,194.462,1641.61,7.692,2.94
2021-04-08,31117713,79843,66212.143,556352,1012,981.857,91985.356,236.019,195.726,1644.601,2.992,2.902
2021-04-09,31202131,84418,67717.286,557255,903,983.429,92234.9,249.543,200.175,1647.271,2.669,2.907
2021-04-10,31272476,70345,68552.857,558015,760,984,92442.843,207.943,202.645,1649.517,2.247,2.909
2021-04-11,31319801,47325,69904,558307,292,981,92582.738,139.895,206.639,1650.381,0.863,2.9
2021-04-12,31383030,63229,69186.571,558760,453,979.143,92769.645,186.908,204.519,1651.72,1.339,2.894
2021-04-13,31463721,80691,71658.286,559624,864,983.714,93008.172,238.526,211.825,1654.274,2.554,2.908
2021-04-14,31538703,74982,71547.571,560561,937,745.857,93229.822,221.65,211.498,1657.043,2.77,2.205
2021-04-15,31612922,74219,70744.143,561468,907,730.857,93449.217,219.395,209.123,1659.725,2.681,2.16
2021-04-16,31695691,82769,70508.571,562338,870,726.143,93693.885,244.669,208.427,1662.296,2.572,2.147
2021-04-17,31751046,55355,68367.143,563047,709,718.857,93857.517,163.632,202.096,1664.392,2.096,2.125
2021-04-18,31794866,43820,67866.429,563397,350,727.143,93987.051,129.534,200.616,1665.427,1.035,2.149
2021-04-19,31854736,59870,67386.571,563893,496,733.286,94164.03,176.978,199.198,1666.893,1.466,2.168
2021-04-20,31917041,62305,64760,564730,837,729.429,94348.206,184.176,191.433,1669.367,2.474,2.156
2021-04-21,31981752,64711,63292.714,565628,898,723.857,94539.495,191.289,187.096,1672.022,2.655,2.14
2021-04-22,32047936,66184,62144.857,566569,941,728.714,94735.137,195.643,183.703,1674.803,2.782,2.154
2021-04-23,32110609,62673,59274,567332,763,713.429,94920.402,185.264,175.217,1677.059,2.255,2.109
2021-04-24,32164896,54287,59121.429,568082,750,719.286,95080.876,160.475,174.766,1679.276,2.217,2.126
2021-04-25,32199298,34402,57776,568391,309,713.429,95182.57,101.694,170.788,1680.189,0.913,2.109
2021-04-26,32242607,43309,55410.143,568872,481,711.286,95310.594,128.023,163.795,1681.611,1.422,2.103
2021-04-27,32294628,52021,53941,569538,666,686.857,95464.37,153.776,159.452,1683.58,1.969,2.03
2021-04-28,32350495,55867,52677.571,570522,984,699.143,95629.515,165.145,155.717,1686.489,2.909,2.067
2021-04-29,32408177,57682,51463,571406,884,691,95800.026,170.511,152.127,1689.102,2.613,2.043
2021-04-30,32465914,57737,50757.857,572210,804,696.857,95970.699,170.673,150.043,1691.478,2.377,2.06
2021-05-01,32514073,48159,49882.429,572959,749,696.714,96113.059,142.36,147.455,1693.693,2.214,2.06
2021-05-02,32544667,30594,49338.429,573282,323,698.714,96203.497,90.437,145.847,1694.647,0.955,2.065
2021-05-03,32590067,45400,49637.143,573768,486,699.429,96337.701,134.204,146.73,1696.084,1.437,2.068
2021-05-04,32632784,42717,48308,574643,875,729.286,96463.974,126.273,142.801,1698.671,2.587,2.156
2021-05-05,32678600,45816,46872.143,575457,814,705,96599.409,135.434,138.556,1701.077,2.406,2.084
2021-05-06,32724530,45930,45193.286,576253,796,692.429,96735.18,135.771,133.593,1703.43,2.353,2.047
2021-05-07,32772708,48178,43827.714,577011,758,685.857,96877.596,142.416,129.557,1705.67,2.241,2.027
2021-05-08,32807663,34955,41941.429,577650,639,670.143,96980.925,103.329,123.981,1707.559,1.889,1.981
2021-05-09,32830398,22735,40818.714,577913,263,661.571,97048.13,67.206,120.662,1708.337,0.777,1.956
2021-05-10,32863210,32812,39020.429,578315,402,649.571,97145.124,96.994,115.346,1709.525,1.188,1.92
2021-05-11,32898485,35275,37957.286,578995,680,621.714,97249.398,104.274,112.203,1711.535,2.01,1.838
2021-05-12,32934459,35974,36551.286,579761,766,614.857,97355.739,106.341,108.047,1713.8,2.264,1.818
2021-05-13,32972332,37873,35400.286,580508,747,607.857,97467.694,111.954,104.645,1716.008,2.208,1.797
2021-05-14,33013933,41601,34460.714,581139,631,589.714,97590.668,122.974,101.867,1717.873,1.865,1.743
2021-05-15,33044400,30467,33819.571,581663,524,573.286,97680.73,90.062,99.972,1719.422,1.549,1.695
2021-05-16,33062032,17632,33090.571,581932,269,574.143,97732.851,52.121,97.817,1720.217,0.795,1.697
2021-05-17,33087562,25530,32050.286,582334,402,574.143,97808.319,75.468,94.742,1721.405,1.188,1.697
2021-05-18,33116570,29008,31155,583115,781,588.571,97894.068,85.749,92.096,1723.714,2.309,1.74
2021-05-19,33145640,29070,30168.714,583769,654,572.571,97980,85.932,89.18,1725.647,1.933,1.693
2021-05-20,33175633,29993,29043,584453,684,563.571,98068.66,88.661,85.852,1727.669,2.022,1.666
2021-05-21,33204310,28677,27196.714,585055,602,559.429,98153.431,84.77,80.395,1729.449,1.78,1.654
2021-05-22,33225215,20905,25830.714,585543,488,554.286,98215.227,61.796,76.357,1730.891,1.443,1.638
2021-05-23,33239000,13785,25281.143,585748,205,545.143,98255.976,40.749,74.732,1731.497,0.606,1.611
2021-05-24,33261170,22170,24801.143,586189,441,550.714,98321.512,65.536,73.313,1732.801,1.304,1.628
2021-05-25,33284968,23798,24056.857,586828,639,530.429,98391.86,70.348,71.113,1734.69,1.889,1.568
2021-05-26,33309340,24372,23385.714,587813,985,577.714,98463.904,72.045,69.129,1737.602,2.912,1.708
2021-05-27,33335875,26535,22891.714,589163,1350,672.857,98542.343,78.439,67.669,1741.592,3.991,1.989
2021-05-28,33357799,21924,21927,589698,535,663.286,98607.151,64.808,64.817,1743.174,1.581,1.961
2021-05-29,33370777,12978,20794.571,590026,328,640.429,98645.515,38.364,61.47,1744.143,0.97,1.893
2021-05-30,33377981,7204,19854.429,590174,148,632.286,98666.81,21.295,58.691,1744.581,0.437,1.869
2021-05-31,33384330,6349,17594.286,590355,181,595.143,98685.578,18.768,52.009,1745.116,0.535,1.759
2021-06-01,33405419,21089,17207.286,590998,643,595.714,98747.918,62.34,50.866,1747.017,1.901,1.761
2021-06-02,33422005,16586,16095,591558,560,535,98796.947,49.029,47.578,1748.672,1.655,1.581
2021-06-03,33439984,17979,14872.714,592189,631,432.286,98850.094,53.147,43.964,1750.537,1.865,1.278
2021-06-04,33457521,17537,14246,592706,517,429.714,98901.934,51.84,42.112,1752.066,1.528,1.27
2021-06-05,33472677,15156,14557.143,593290,584,466.286,98946.736,44.802,43.032,1753.792,1.726,1.378
2021-06-06,33478573,5896,14370.286,593459,169,469.286,98964.165,17.429,42.479,1754.291,0.5,1.387
2021-06-07,33492762,14189,15490.286,593769,310,487.714,99006.108,41.943,45.79,1755.208,0.916,1.442
2021-06-08,33505556,12794,14305.286,594077,308,439.857,99043.928,37.82,42.287,1756.118,0.91,1.3
2021-06-09,33523763,18207,14536.857,594552,475,427.714,99097.748,53.821,42.972,1757.522,1.404,1.264
2021-06-10,33538278,14515,14042,594955,403,395.143,99140.655,42.907,41.509,1758.714,1.191,1.168
2021-06-11,33562794,24516,15039,595481,526,396.429,99213.126,72.47,44.456,1760.269,1.555,1.172
2021-06-12,33571614,8820,14133.857,595749,268,351.286,99239.198,26.072,41.78,1761.061,0.792,1.038
2021-06-13,33576640,5026,14009.571,595861,112,343.143,99254.055,14.857,41.413,1761.392,0.331,1.014
2021-06-14,33588544,11904,13683.143,596050,189,325.857,99289.244,35.189,40.448,1761.951,0.559,0.963
2021-06-15,33599190,10646,13376.286,596373,323,328,99320.714,31.47,39.541,1762.905,0.955,0.97
2021-06-16,33610943,11753,12454.286,596756,383,314.857,99355.456,34.742,36.815,1764.038,1.132,0.931
2021-06-17,33622462,11519,12026.286,597055,299,300,99389.507,34.051,35.55,1764.921,0.884,0.887
2021-06-18,33643446,20984,11521.714,597655,600,310.571,99451.537,62.03,34.059,1766.695,1.774,0.918
2021-06-19,33652331,8885,11531,597825,170,296.571,99477.801,26.264,34.086,1767.198,0.503,0.877
2021-06-20,33657256,4925,11516.571,597904,79,291.857,99492.36,14.559,34.044,1767.431,0.234,0.863
2021-06-21,33667988,10732,11349.143,598164,260,302,99524.084,31.724,33.549,1768.2,0.769,0.893
2021-06-22,33678755,10767,11366.429,598508,344,305,99555.912,31.828,33.6,1769.217,1.017,0.902
2021-06-23,33691252,12497,11472.714,598894,386,305.429,99592.853,36.942,33.914,1770.358,1.141,0.903
2021-06-24,33705445,14193,11854.714,599235,341,311.429,99634.808,41.955,35.043,1771.366,1.008,0.921
2021-06-25,33729967,24522,12360.143,599763,528,301.143,99707.297,72.488,36.537,1772.926,1.561,0.89
2021-06-26,33739026,9059,12385,599924,161,299.857,99734.075,26.779,36.611,1773.402,0.476,0.886
2021-06-27,33743685,4659,12347,599999,75,299.286,99747.848,13.772,36.498,1773.624,0.222,0.885
2021-06-28,33757455,13770,12781,600158,159,284.857,99788.552,40.705,37.781,1774.094,0.47,0.842
2021-06-29,33764981,7526,12318,600487,329,282.714,99810.8,22.247,36.413,1775.067,0.973,0.836
2021-06-30,33780267,15286,12716.429,600787,300,270.429,99855.986,45.186,37.59,1775.953,0.887,0.799
2021-07-01,33795188,14921,12820.429,601070,283,262.143,99900.093,44.107,37.898,1776.79,0.837,0.775
2021-07-02,33824806,29618,13548.429,601504,434,248.714,99987.645,87.552,40.05,1778.073,1.283,0.735
2021-07-03,33830076,5270,13007.143,601587,83,237.571,100003.223,15.578,38.45,1778.318,0.245,0.702
2021-07-04,33834341,4265,12950.857,601627,40,232.571,100015.831,12.608,38.283,1778.436,0.118,0.687
2021-07-05,33843502,9161,12292.429,601748,121,227.143,100042.911,27.08,36.337,1778.794,0.358,0.671
2021-07-06,33866076,22574,14442.143,602054,306,223.857,100109.641,66.73,42.692,1779.699,0.905,0.662
2021-07-07,33886224,20148,15136.714,602381,327,227.714,100169.199,59.558,44.745,1780.665,0.967,0.673
2021-07-08,33907102,20878,15987.714,602631,250,223,100230.916,61.716,47.26,1781.404,0.739,0.659
2021-07-09,33954091,46989,18469.286,603093,462,227,100369.817,138.902,54.596,1782.77,1.366,0.671
2021-07-10,33964108,10017,19147.429,603171,78,226.286,100399.428,29.611,56.601,1783.001,0.231,0.669
2021-07-11,33975871,11763,20218.571,603292,121,237.857,100434.2,34.772,59.767,1783.358,0.358,0.703
2021-07-12,34005533,29662,23147.286,603527,235,254.143,100521.882,87.682,68.424,1784.053,0.695,0.751
2021-07-13,34032009,26476,23704.714,603884,357,261.429,100600.146,78.264,70.072,1785.108,1.055,0.773
2021-07-14,34063157,31148,25276.143,604211,327,261.429,100692.221,92.075,74.717,1786.075,0.967,0.773
2021-07-15,34095099,31942,26856.714,604567,356,276.571,100786.643,94.422,79.39,1787.127,1.052,0.818
2021-07-16,34173131,78032,31291.429,605020,453,275.286,101017.309,230.666,92.499,1788.466,1.339,0.814
2021-07-17,34187197,14066,31869.857,605092,72,274.429,101058.889,41.58,94.209,1788.679,0.213,0.811
2021-07-18,34207567,20370,33099.429,605187,95,270.714,101119.104,60.215,97.843,1788.96,0.281,0.8
2021-07-19,34256794,49227,35894.429,605385,198,265.429,101264.621,145.517,106.106,1789.545,0.585,0.785
2021-07-20,34296683,39889,37810.571,605675,290,255.857,101382.535,117.914,111.77,1790.402,0.857,0.756
2021-07-21,34344555,47872,40199.714,606038,363,261,101524.046,141.512,118.832,1791.476,1.073,0.772
2021-07-22,34400991,56436,43698.857,606326,288,251.286,101690.874,166.827,129.176,1792.327,0.851,0.743
2021-07-23,34521796,120805,49809.286,606878,552,265.429,102047.979,357.105,147.238,1793.959,1.632,0.785
2021-07-24,34551145,29349,51992.571,607014,136,274.571,102134.736,86.757,153.692,1794.361,0.402,0.812
2021-07-25,34579770,28625,53171.857,607116,102,275.571,102219.352,84.617,157.178,1794.662,0.302,0.815
2021-07-26,34658325,78555,57361.571,607366,250,283,102451.564,232.212,169.563,1795.401,0.739,0.837
2021-07-27,34723396,65071,60959,607824,458,307,102643.917,192.353,180.198,1796.755,1.354,0.908
2021-07-28,34796978,73582,64631.857,608207,383,309.857,102861.429,217.512,191.055,1797.887,1.132,0.916
2021-07-29,34869340,72362,66907,608525,318,314.143,103075.334,213.905,197.78,1798.827,0.94,0.929
2021-07-30,35060521,191181,76960.714,609410,885,361.714,103640.474,565.14,227.499,1801.443,2.616,1.069
2021-07-31,35105192,44671,79149.571,609586,176,367.429,103772.523,132.049,233.97,1801.964,0.52,1.086
2021-08-01,35150571,45379,81543,609819,233,386.143,103906.666,134.142,241.045,1802.652,0.689,1.141
2021-08-02,35258092,107521,85681,610162,343,399.429,104224.503,317.837,253.277,1803.666,1.014,1.181
2021-08-03,35356061,97969,90380.714,610748,586,417.714,104514.103,289.601,267.169,1805.399,1.732,1.235
2021-08-04,35458568,102507,94512.857,611294,546,441,104817.119,303.015,279.384,1807.013,1.614,1.304
2021-08-05,35568158,109590,99831.143,611820,526,470.714,105141.072,323.953,295.105,1808.567,1.555,1.391
2021-08-06,35820070,251912,108507,612953,1133,506.143,105885.735,744.663,320.752,1811.917,3.349,1.496
2021-08-07,35883951,63881,111251.286,613219,266,519,106074.57,188.835,328.864,1812.703,0.786,1.534
2021-08-08,35919637,35686,109866.571,613354,135,505,106180.059,105.489,324.771,1813.102,0.399,1.493
2021-08-09,36078068,158431,117139.429,613871,517,529.857,106648.389,468.329,346.269,1814.63,1.528,1.566
2021-08-10,36196261,118193,120028.571,614703,832,565,106997.772,349.384,354.81,1817.09,2.459,1.67
2021-08-11,36350841,154580,127467.571,615508,805,602,107454.718,456.945,376.8,1819.469,2.38,1.78
2021-08-12,36494653,143812,132356.429,616540,1032,674.286,107879.832,425.115,391.252,1822.52,3.051,1.993
2021-08-13,36721498,226845,128775.429,617599,1059,663.714,108550.396,670.564,380.666,1825.65,3.13,1.962
2021-08-14,36795672,74174,130245.857,617869,270,664.286,108769.658,219.262,385.013,1826.448,0.798,1.964
2021-08-15,36843536,47864,131985.571,618086,217,676,108911.146,141.488,390.155,1827.09,0.641,1.998
2021-08-16,37036895,193359,136975.286,619127,1041,750.857,109482.724,571.578,404.905,1830.167,3.077,2.22
2021-08-17,37188007,151112,141678,620151,1024,778.286,109929.418,446.694,418.807,1833.194,3.027,2.301
2021-08-18,37355357,167350,143502.286,621355,1204,835.286,110424.112,494.694,424.199,1836.753,3.559,2.469
2021-08-19,37510635,155278,145140.286,623142,1787,943.143,110883.121,459.009,429.041,1842.036,5.282,2.788
2021-08-20,37749769,239134,146895.857,624604,1462,1000.714,111590.012,706.891,434.231,1846.357,4.322,2.958
2021-08-21,37843272,93503,149657.143,625181,577,1044.571,111866.411,276.399,442.393,1848.063,1.706,3.088
2021-08-22,37888630,45358,149299.143,625401,220,1045,112000.491,134.08,441.335,1848.713,0.65,3.089
2021-08-23,38094814,206184,151131.286,626737,1336,1087.143,112609.98,609.489,446.751,1852.663,3.949,3.214
2021-08-24,38250007,155193,151714.286,628172,1435,1145.857,113068.738,458.757,448.474,1856.905,4.242,3.387
2021-08-25,38429215,179208,153408.286,629725,1553,1195.714,113598.485,529.747,453.482,1861.495,4.591,3.535
2021-08-26,38612980,183765,157477.857,631947,2222,1257.857,114141.702,543.218,465.512,1868.064,6.568,3.718
2021-08-27,38851343,238363,157367.714,633690,1743,1298,114846.314,704.612,465.186,1873.216,5.152,3.837
2021-08-28,38931478,80135,155458,634342,652,1308.714,115083.197,236.883,459.541,1875.143,1.927,3.869
2021-08-29,38984654,53176,156574.857,634668,326,1323.857,115240.387,157.191,462.842,1876.107,0.964,3.913
2021-08-30,39212587,227933,159681.857,636381,1713,1377.714,115914.167,673.78,472.027,1881.171,5.064,4.073
2021-08-31,39392557,179970,163221.429,637825,1444,1379,116446.167,531.999,482.49,1885.439,4.269,4.076
2021-09-01,39583165,190608,164850,639869,2044,1449.143,117009.613,563.446,487.304,1891.481,6.042,4.284
2021-09-02,39762233,179068,164179,642876,3007,1561.286,117538.946,529.333,485.32,1900.37,8.889,4.615
2021-09-03,39997483,235250,163734.286,644816,1940,1589.429,118234.355,695.41,484.006,1906.105,5.735,4.698
2021-09-04,40084782,87299,164757.714,645469,653,1589.571,118492.415,258.06,487.031,1908.035,1.93,4.699
2021-09-05,40149463,64681,166401.286,645897,428,1604.143,118683.615,191.2,491.89,1909.301,1.265,4.742
2021-09-06,40239454,89991,146695.286,646505,608,1446.286,118949.632,266.017,433.638,1911.098,1.797,4.275
2021-09-07,40449501,210047,150992,648601,2096,1539.429,119570.541,620.908,446.339,1917.294,6.196,4.551
2021-09-08,40627272,177771,149158.143,650920,2319,1578.714,120096.04,525.499,440.918,1924.149,6.855,4.667
2021-09-09,40793933,166661,147385.714,654148,3228,1610.286,120588.697,492.657,435.679,1933.691,9.542,4.76
2021-09-10,41035765,241832,148326,656609,2461,1684.714,121303.563,714.866,438.458,1940.966,7.275,4.98
2021-09-11,41126216,90451,148776.286,657448,839,1711.286,121570.941,267.377,439.789,1943.446,2.48,5.059
2021-09-12,41175785,49569,146617.429,657828,380,1704.429,121717.469,146.528,433.408,1944.569,1.123,5.038
2021-09-13,41383511,207726,163436.714,659985,2157,1925.714,122331.516,614.047,483.126,1950.945,6.376,5.692
2021-09-14,41529049,145538,154221.143,661913,1928,1901.714,122761.733,430.217,455.885,1956.645,5.699,5.622
